0UUUUUUU UUUUUUUUU U
0UUUUUUU UUUUUUUUU U
0UUUUUUU UUUUUUUUU U
0UUUUUUU UUUUUUUUU U
01000101 010000001 0
00011011 000001011 1
01010110 001111001 0
01010110 000000100 1
01001100 001110100 1
00010111 000010110 1
00110011 000111011 0
00111010 000110101 0
01010101 010001101 0
01000001 001110000 1
01010000 001100010 1
01000010 000011011 0
00010100 000100001 1
00101100 001000001 0
01001001 000010111 1
00110000 001001101 0
01000001 000110101 1
00100000 000001101 0
01010110 010010011 0
00110001 000110001 0
00011111 000010011 0
01001000 000000111 1
01011001 010100001 0
00011111 000100100 0
00110111 000010010 1
01001100 001000001 1
01000011 001100010 1
00111111 000010011 1
01001011 000110001 0
01010011 000000010 0
00101110 000101001 1
00000011 000000101 1
00011100 000011001 1
00100110 000011100 1
00100100 000100110 0
01010101 001100010 1
00110001 001010111 1
00101000 000011001 0
00111000 000010000 1
00101000 000111111 0
00101111 000001011 1
00010101 000000000 0
00110010 001001100 1
01001000 001011011 0
01010111 000011001 1
00101100 000101001 1
01011010 001010111 0
01001111 001001110 1
01001101 000101001 1
01010001 000101110 0
00100110 000101100 0
00110111 000111010 1
00010111 000100100 1
00111101 001110011 1
00111010 000111111 1
00011001 000011010 0
01010011 001101001 0
01000000 000101110 1
00111100 001010101 0
00100110 000100010 0
01010101 010010110 1
00100001 000010001 0
01011000 010100111 1
00101000 000001000 1
00111011 001100010 0
00000111 000000111 1
00111101 001101011 0
01000010 000010001 0
00100000 000001101 1
00101110 000000010 1
01001110 000111101 0
00101111 000011011 0
00010010 000010100 1
00111000 001011000 0
01000111 001001011 1
00100110 000010101 0
00010110 000001011 1
01001001 000000101 1
01010111 001011000 1
00101001 000101111 1
00111001 000100110 0
00111001 001010010 1
01000100 000000001 1
01000101 001010010 1
00011010 000000000 1
01000101 000011101 0
01001011 000100110 0
01010110 000010111 0
01000111 001010010 1
00100001 000101000 1
00011010 000000000 0
00100010 000101110 0
01000000 001001100 1
01010100 010011110 0
01010000 010010001 0
00011000 000010101 0
00110010 000010000 1
00100001 000111001 1
01001111 001111011 0
00110111 001001111 1
00110100 000111110 0
01000011 001100101 1
01010100 001101000 1
01000110 001011101 0
00100010 000001001 1
00111110 000000111 1
01001110 001011001 1
00100111 001001011 0
00110001 001000100 0
01001011 001101101 0
00100010 000111001 0
00011111 000110100 0
01010100 000111110 1
00110010 000111010 1
01001010 001101010 0
01010110 000110010 1
01010101 010011011 0
00110000 001011010 1
01001011 010010110 1
00111010 000011011 0
00111010 000100010 0
01000110 000001100 1
01010110 000100101 0
01001011 000001100 1
00111011 001011111 1
00111010 001000000 1
00111100 001011101 0
00111100 000111000 0
00011111 000111101 0
01001101 001110110 0
01001010 001000101 0
00011011 000000001 0
01001101 000101101 1
00011100 000100100 1
01010111 001011100 1
01001010 001101110 0
00101011 001000000 0
00011000 000000111 1
01011000 001010001 1
01000100 000110101 0
01001001 000111001 0
01011001 000101100 1
00101111 000001111 1
01001110 000110110 1
00111001 000011011 1
00010011 000010100 0
01001111 000101110 0
01000110 001101011 1
00011100 000011000 1
01010110 000011010 1
01001101 001010110 0
01000000 001110011 0
01001000 001010110 0
01001101 000111101 1
01000101 001001000 1
01010101 001101110 1
01000011 000111111 0
01001010 000000001 1
00001001 000000110 1
01010101 010000110 0
00010011 000001000 0
00111011 000110011 0
00100101 000111101 1
